,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logSumDollars,predicted,diff,Rank,logDollars
11453226,2015-10-31,77084,29.827486,-95.65992,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",12.0465902775,11.7063708852,-49174.6843594,4732.0,4.49980967033
6876303,2015-06-21,33647,28.126958,-82.354093,<= $1000,Not Listed,"Families, Low Density",12.6493343763,12.8013870762,51164.2214367,23134.0,5.52146091786
494651,2015-09-30,92532,33.692673,-117.302957,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",10.2269107336,10.7786229928,20347.0044072,21442.0,3.25809653802
6992647,2016-02-27,23113,37.538846,-77.679628,<= $20,Not Listed,"Suburban, White, Wealthy",14.1992575254,13.5069775821,-733250.269759,677.0,2.30258509299
12824603,2016-05-09,48075,42.462064,-83.230398,<= $1000,Not Listed,"Low Income, African American",12.5881804158,11.7587998414,-165200.107626,2266.0,5.88610403145
6934842,2016-02-23,75034,33.146638,-96.855822,<= $1000,Not Listed,"Suburban, White, Wealthy",14.9065052395,13.3238618581,-2365616.81069,209.0,6.21460809842
11080961,2016-05-30,01905,42.465998,-70.975792,<= $100,retired,"Families, Low Density",11.0449837086,10.7170631405,-17509.8006757,7389.0,3.21887582487
4717220,2015-07-17,34685,28.093299,-82.689364,<= $1000,business,"Families, Low Density",12.6394836053,10.9294930287,-252704.015442,1638.0,4.74493212836
12475144,2016-07-29,90808,33.823943,-118.111335,<= $100,retired,"Homeowners, Families",13.1187046926,12.3380102997,-269966.564377,1548.0,4.12713438505
1831648,2015-04-09,90024,34.065723,-118.434969,<= $5000,Not Listed,Wealthy Urbanites (Renters),16.2360220541,13.944399734,-10114048.9522,44.0,7.60090245954
6380931,2016-03-24,96789,21.483875,-157.934284,<= $100,Not Listed,"Homeowners, Families",12.0848593583,11.9237102872,-26368.9166557,6311.0,4.60517018599
9551238,2015-04-13,53925,43.326711,-89.057123,<= $100,retired,"White, Middle income Single Family",11.8454327085,10.1622669183,-113539.040496,2952.0,3.91202300543
11936301,2016-01-19,95492,38.528079,-122.821349,<= $20,Not Listed,"Homeowners, Families",11.6148320226,11.4132994044,-20210.4164263,6995.0,2.30258509299
12825072,2015-05-22,28262,35.322061,-80.739981,<= $20,Not Listed,"Families, Low Density",13.0616362503,11.6670614644,-353875.046038,1242.0,2.94443897917
10665778,2016-09-12,48167,42.432315,-83.524658,<= $1000,Not Listed,"Suburban, White, Wealthy",13.5203284303,12.9322120161,-330979.013115,1319.0,4.74493212836
11463163,2016-05-20,30533,34.56356,-84.020072,<= $100,Not Listed,"White, Middle income Single Family",12.6236112415,9.93083018281,-283089.602592,1484.0,3.91202300543
8782694,2015-12-17,48103,42.26135,-83.846458,<= $100,Not Listed,"Families, Low Density",13.9256108232,13.2499855991,-548328.140634,852.0,3.91202300543
16696047,2015-09-27,38080,36.207086,-89.519208,<= $20,Not Listed,"White, Middle income Single Family",10.8892670329,8.49309036458,-48717.0733673,4753.0,1.60943791243
16465639,2016-06-14,02382,42.078974,-70.93939,<= $100,Not Listed,"Suburban, White, Wealthy",10.6949630809,10.4998660575,-7822.36118926,9284.0,3.21887582487
16004943,2015-08-03,81637,39.777824,-107.105819,<= $100,Not Listed,"Homeowners, Families",10.480774847,8.88189480514,-28423.5787867,6105.0,3.21887582487
4127939,2016-07-28,10803,40.900458,-73.807138,<= $100,retired,"Homeowners, Families",13.8227066042,13.6250112385,-180675.679794,2108.0,3.21887582487
2345154,2015-05-07,22202,38.856868,-77.051492,<= $100,Not Listed,Wealthy Urbanites (Renters),15.3291320425,12.9234426827,-4133346.55471,117.0,3.68887945411
3677343,2015-09-15,78257,29.660485,-98.583454,<= $100,business,"White, Middle income Single Family",13.3699341402,10.3448292354,-609359.162853,783.0,3.98898404656
7714589,2015-07-10,30319,33.875954,-84.334763,<= $100,business,"Families, Low Density",14.8664804236,13.3284227972,-2246010.89079,221.0,3.95124371858
15547227,2016-02-16,97206,45.482433,-122.598605,<= $20,Not Listed,"Families, Low Density",12.7736169198,11.5594259265,-248026.143739,1657.0,1.79175946923
16776465,2015-05-30,38461,35.593001,-87.341971,<= $100,Not Listed,"White, Middle income Single Family",9.22394737538,7.76462483302,-7781.2254861,9297.0,3.91202300543
9887593,2015-12-20,27262,35.963132,-80.041654,<= $100,retired,"Low Income, African American",12.8490653567,11.6408320883,-266788.31199,1560.0,3.91202300543
13007320,2015-10-31,30096,33.974292,-84.145426,<= $100,technology,Wealthy Urbanites (Renters),12.0812064585,11.7123897714,-54448.1364209,4500.0,3.91202300543
14793132,2016-07-28,59808,46.971063,-114.111212,<= $100,legal,"White, Middle income Single Family",12.3065331758,11.5713427321,-115120.272783,2929.0,3.21887582487
7390301,2016-08-30,60607,41.87493,-87.651596,<= $1000,Not Listed,Wealthy Urbanites (Renters),13.1830011756,13.028454434,-76074.1733861,3731.0,6.21460809842
11934313,2016-06-18,32541,30.392765,-86.469506,<= $100,Not Listed,"Homeowners, Families",12.554078118,11.0962305259,-217325.800787,1842.0,4.60517018599
14147852,2016-04-30,80501,40.164837,-105.103179,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",11.7747434264,11.6545262011,-14717.3441867,7825.0,4.60517018599
9246981,2016-08-30,17815,41.020038,-76.420092,<= $100,Not Listed,"Families, Low Density",12.293657608,11.8338804773,-80462.6433449,3604.0,4.31748811354
2314416,2016-05-04,77005,29.718435,-95.423555,<= $100,Not Listed,"Families, Low Density",14.8634781138,14.3150825454,-1203833.25169,404.0,3.21887582487
8032094,2016-04-23,49546,42.927758,-85.530189,<= $20,Not Listed,"Families, Low Density",13.0311029861,12.912179641,-51172.3370732,4647.0,0.0
8973906,2015-12-31,18017,40.659951,-75.387306,<= $100,Not Listed,"Families, Low Density",13.8463248824,11.9560153296,-875542.770664,572.0,3.91202300543
12223773,2015-10-28,94044,37.606627,-122.477211,<= $100,Not Listed,"Homeowners, Families",12.8441509923,12.6274395393,-73759.3324235,3809.0,3.21887582487
6285202,2016-04-11,24551,37.356256,-79.324598,<= $100,Not Listed,"White, Middle income Single Family",12.9624129113,10.1173763452,-401323.30163,1120.0,3.63758615973
6737732,2016-06-09,87043,35.275451,-106.462126,<= $100,Not Listed,"Suburban, White, Wealthy",11.9047918616,10.2352312676,-120106.086072,2851.0,3.55534806149
15842980,2016-06-10,92394,34.556111,-117.353632,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",9.56661523589,10.5561136494,24131.5567151,21839.0,3.09104245336
9812452,2016-06-08,22903,38.006972,-78.59506,<= $1000,retired,"Families, Low Density",13.9055468553,12.3104890423,-872201.482964,576.0,5.52146091786
12992448,2016-05-11,28036,35.480547,-80.792539,<= $100,Not Listed,"Suburban, White, Wealthy",13.931724363,12.0029537708,-959999.757525,509.0,4.60517018599
16910608,2015-12-03,12849,43.449567,-73.29832,<= $20,Not Listed,"White, Middle income Single Family",5.89989735358,9.07206069648,8343.55100855,19271.0,2.7080502011
936150,2016-02-25,19130,39.967935,-75.176073,<= $1000,technology,"Families, Low Density",15.9877034402,13.4891993977,-8055930.37474,61.0,4.96284463026
3424444,2016-04-25,70810,30.331942,-91.092135,<= $20,professor,"Families, Low Density",14.0027101975,11.7326715416,-1081291.96372,443.0,2.7080502011
12433234,2015-08-11,75074,33.031561,-96.673164,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",11.5092085659,11.8602321312,41896.0668377,22836.0,2.7080502011
3912889,2016-08-19,94941,37.897665,-122.563172,<= $100,retired,"Homeowners, Families",14.7668266764,14.1285448259,-1221546.60601,397.0,3.55534806149
4450576,2015-03-13,22042,38.865024,-77.197125,<= $100,business,"Homeowners, Families",15.7270667377,13.0868879913,-6281032.75501,77.0,3.91202300543
4727598,2016-02-09,32082,30.125226,-81.369578,<= $20,Not Listed,"Homeowners, Families",15.3545693528,13.5457090927,-3896670.93324,127.0,2.7080502011
510780,2015-07-17,98040,47.567779,-122.232795,<= $100,retired,"Homeowners, Families",14.4845520162,14.0242268517,-720269.604222,684.0,4.60517018599
549054,2015-12-26,40059,38.358108,-85.593622,<= $100,Not Listed,"Suburban, White, Wealthy",14.4305772711,12.8529388144,-1467870.55123,330.0,3.61091791264
12132716,2015-07-31,30360,33.933808,-84.272577,<= $100,Not Listed,"Homeowners, Families",11.4877512364,12.2806204374,117965.366621,23848.0,4.27666611902
14125884,2016-06-16,60193,42.009666,-88.096644,<= $100,Not Listed,"Homeowners, Families",12.444293954,11.1826925593,-181922.368845,2092.0,3.21887582487
112829,2015-06-03,78045,27.833815,-99.681424,<= $20,Not Listed,"Hispanic, non citizens, low income",12.8193348143,11.8012010106,-235876.513422,1730.0,1.60943791243
9722507,2015-10-15,15146,40.426328,-79.761358,<= $100,Not Listed,"White, Middle income Single Family",12.0077802308,11.9288236029,-12452.8534561,8238.0,3.91202300543
1376324,2016-09-24,08540,40.36301,-74.655321,<= $20,Not Listed,"Homeowners, Families",16.3720664812,13.8049908914,-11901806.5284,33.0,2.30258509299
7438910,2015-12-31,32703,28.671439,-81.553055,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",11.8504685566,11.1504096215,-70557.671226,3909.0,3.91202300543
4355720,2016-06-06,19087,40.061872,-75.402461,<= $100,Not Listed,"Homeowners, Families",15.6019986579,13.5983489759,-5163655.08245,92.0,4.60517018599
16577114,2016-02-17,13495,43.11089,-75.277497,<= $1000,Not Listed,"White, Middle income Single Family",8.98205864281,8.68761463945,-2029.97749503,11575.0,6.21460809842
5297258,2015-06-30,97219,45.454231,-122.698526,<= $5000,business,"Families, Low Density",14.7485675473,13.3747381614,-1898729.83837,252.0,7.90100705199
2460680,2016-06-28,76063,32.57074,-97.144837,<= $100,Not Listed,"Suburban, White, Wealthy",13.4363752581,12.4821988759,-420850.154612,1073.0,3.63758615973
7655378,2016-07-27,33021,26.02313,-80.186539,<= $1000,retired,"Families, Low Density",12.8101700093,12.0762936375,-190262.099121,2034.0,5.4161004022
12557466,2016-04-14,92122,32.861727,-117.171224,<= $100,technology,"Homeowners, Families",13.0476333657,13.5054730199,269422.424587,24142.0,3.21887582487
8590321,2015-11-16,74006,36.712435,-95.895038,<= $20,Not Listed,"Families, Low Density",12.5295609546,11.2476391145,-199689.370835,1957.0,2.30258509299
15458618,2016-04-14,48341,42.626921,-83.297371,<= $100,Not Listed,"Low Income, African American",10.3910240783,10.3385344502,-1665.28968514,11778.0,3.295836866
2993132,2016-04-13,80504,40.163388,-105.030087,<= $20,Not Listed,"Suburban, White, Wealthy",13.5533870645,11.6929276137,-649694.00644,740.0,2.7080502011
13645662,2016-04-18,34135,26.355541,-81.75432,<= $100,Not Listed,"Homeowners, Families",13.1708601652,12.3159502816,-301617.702679,1419.0,3.21887582487
247815,2015-06-29,82001,41.092356,-104.936269,<= $100,creative,"Families, Low Density",12.0392976128,11.6245519401,-57468.4853665,4363.0,3.91202300543
14585452,2016-08-26,76273,33.743893,-96.936121,<= $100,Not Listed,"White, Middle income Single Family",11.0204635252,9.35534936354,-49551.5003508,4717.0,4.31748811354
6494466,2016-05-17,94553,37.993892,-122.136441,<= $100,Not Listed,"Homeowners, Families",12.5620638558,11.815045837,-150246.595292,2435.0,3.21887582487
8658706,2016-03-01,80121,39.610714,-104.949039,<= $1000,business,"Homeowners, Families",14.1619854579,12.2616142193,-1202651.40714,405.0,5.70378247466
7137844,2016-05-31,12303,42.740387,-73.905398,<= $20,Not Listed,"White, Middle income Single Family",11.7659850363,11.4307729203,-36682.8565698,5442.0,2.7080502011
6891752,2015-05-29,80111,39.613005,-104.877957,<= $20,Not Listed,"Suburban, White, Wealthy",15.0253141303,12.6892495118,-3028582.67635,173.0,2.99573227355
1495213,2016-05-29,22204,38.860791,-77.098972,<= $20,Not Listed,Wealthy Urbanites (Renters),14.3070787418,12.9431613364,-1216909.50561,399.0,2.30258509299
6146853,2016-05-02,98072,47.760785,-122.130531,<= $100,Not Listed,"Homeowners, Families",13.1139400002,12.4602698284,-237920.793612,1721.0,3.55534806149
3653350,2016-06-30,60603,41.880188,-87.625509,<= $100,Not Listed,Wealthy Urbanites (Renters),16.4491783903,10.7643740364,-13877444.8695,29.0,3.04452243772
14539512,2016-09-21,95126,37.326791,-121.916745,<= $1000,retired,"Homeowners, Families",12.662408292,12.8487679407,64663.8699804,23389.0,5.29831736655
14659493,2015-06-20,93551,34.604105,-118.239213,<= $20,business,"Suburban, White, Wealthy",12.1257190562,11.6132662731,-74003.236655,3796.0,2.99573227355
8778486,2015-06-07,45701,39.311963,-82.08602,<= $100,Not Listed,"Families, Low Density",12.3460476087,12.292668102,-11957.9092468,8326.0,4.60517018599
13108525,2015-11-10,97523,42.123094,-123.566871,<= $100,retired,"White, Middle income Single Family",10.690671375,8.11580690331,-40597.0428343,5162.0,4.60517018599
8257864,2015-06-25,37660,36.52686,-82.571968,<= $1000,Not Listed,"White, Middle income Single Family",12.585946404,11.4509606805,-198428.401419,1968.0,5.56068163102
3292369,2016-04-01,19006,40.150436,-75.033899,<= $100,medical,"Suburban, White, Wealthy",14.3755936653,12.6952783104,-1424613.97426,346.0,4.60517018599
8435782,2015-04-21,60564,41.706073,-88.195394,<= $1000,Not Listed,"Suburban, White, Wealthy",13.4363153545,12.8973179351,-285172.033428,1475.0,6.21460809842
10359743,2016-08-31,76310,33.799085,-98.50984,<= $100,medical,"Families, Low Density",11.6096074307,11.5295815183,-8471.44613102,9103.0,4.60517018599
4619903,2016-08-01,44040,41.535663,-81.410737,<= $1000,medical,"Suburban, White, Wealthy",14.6205371599,12.0897307166,-2058721.84078,238.0,5.52146091786
9722907,2016-06-13,15146,40.426328,-79.761358,<= $1000,Not Listed,"White, Middle income Single Family",12.0077802308,11.9288236029,-12452.8534561,8238.0,5.0106352941
8173682,2016-04-30,10010,40.739065,-73.982255,<= $100,Not Listed,Wealthy Urbanites (Renters),16.4509622522,13.9097645813,-12850773.1588,31.0,4.4188406078
11787874,2015-12-18,86401,35.131719,-113.703932,<= $20,Not Listed,"Families, Low Density",11.127086498,10.1665132989,-41970.79578,5082.0,1.60943791243
3726042,2016-08-30,95403,38.503685,-122.754057,<= $100,business,"Homeowners, Families",13.7926727492,11.909008392,-828821.745861,604.0,3.21887582487
15516516,2016-06-02,97227,45.543386,-122.6781,<= $100,retired,Wealthy Urbanites (Renters),10.9572070723,11.4082959003,32699.8096358,22413.0,4.60517018599
16036750,2016-05-27,11378,40.724744,-73.909639,<= $100,Not Listed,"Families, Low Density",11.4894828208,11.5059173765,1618.64109332,15243.0,3.58351893846
7411694,2016-02-27,31322,32.109885,-81.255465,<= $100,retired,"Suburban, White, Wealthy",11.9629304477,9.62858313667,-141639.105405,2554.0,3.91202300543
393333,2015-09-29,68008,41.546834,-96.162598,<= $100,Not Listed,"Families, Low Density",11.1554644979,10.448038583,-35468.3148103,5524.0,4.2341065046
12079094,2016-01-25,89502,39.491314,-119.743845,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",12.1904563433,11.1392614616,-128080.189138,2735.0,3.21887582487
14228310,2015-11-19,97213,45.538194,-122.600014,<= $20,Not Listed,"Families, Low Density",12.6362856493,12.458158563,-50175.6833742,4697.0,1.79175946923
12573735,2016-06-30,32814,28.572584,-81.322358,<= $100,Not Listed,"Families, Low Density",12.3783985788,11.9579322599,-81562.9200669,3578.0,4.60517018599
11639721,2015-09-11,27403,36.065973,-79.824383,<= $100,retired,"Families, Low Density",11.5250121261,12.3157192739,121960.735825,23873.0,3.21887582487
7010277,2016-05-29,55044,44.64214,-93.276428,<= $20,Not Listed,"Suburban, White, Wealthy",13.0247549587,12.7370839891,-113371.723606,2955.0,1.60943791243
9586705,2016-07-02,11435,40.701265,-73.809605,<= $100,Not Listed,Wealthy Urbanites (Renters),10.9261003376,11.4098715221,34598.8311508,22491.0,3.91202300543
14503859,2016-05-03,95946,39.215586,-121.20324,<= $100,Not Listed,"Suburban, White, Wealthy",11.5569519197,9.65886831293,-88840.9476425,3404.0,4.60517018599
6454763,2015-07-21,84121,40.613033,-111.663944,<= $100,retired,"Families, Low Density",13.4091260273,12.5391607649,-386999.951336,1151.0,3.91202300543
13817889,2016-08-13,02871,41.587299,-71.261246,<= $100,Not Listed,"Suburban, White, Wealthy",11.7191588418,11.8995247669,24292.6558935,21851.0,4.60517018599
3230226,2016-05-19,59803,46.796608,-113.950416,<= $20,Not Listed,"Families, Low Density",12.1824047577,12.3200780785,28829.6427924,22168.0,0.0
6911565,2016-04-01,80111,39.613005,-104.877957,<= $1000,legal,"Suburban, White, Wealthy",15.0253141303,12.6892495118,-3028582.67635,173.0,5.52146091786
217086,2016-07-15,20854,39.032772,-77.22083,<= $100,Not Listed,"Homeowners, Families",16.1768858383,14.1244694507,-9243520.61899,48.0,3.91202300543
5562421,2015-05-02,97035,45.413498,-122.725171,<= $100,Not Listed,"Families, Low Density",14.2030560648,13.2885833371,-882943.595607,564.0,4.60517018599
8664392,2015-08-09,80220,39.733819,-104.91657,<= $100,Not Listed,"Families, Low Density",15.015612982,12.6477851035,-3009383.31152,174.0,3.91202300543
2939571,2016-05-22,85254,33.615485,-111.952235,<= $100,Not Listed,"Suburban, White, Wealthy",13.4807857936,13.0935574451,-229732.498329,1763.0,3.21887582487
15126998,2015-07-31,75182,32.800521,-96.547575,<= $100,Not Listed,"Suburban, White, Wealthy",11.3913000568,12.3566629808,143956.063393,23952.0,4.31748811354
5629501,2016-05-13,97006,45.517009,-122.859817,<= $20,Not Listed,"Families, Low Density",11.6703906458,12.207475169,83226.701488,23636.0,1.60943791243
8208115,2016-07-16,43065,40.17754,-83.094187,<= $20,Not Listed,"Suburban, White, Wealthy",14.198552809,13.1722184695,-941180.615064,521.0,2.30258509299
9202130,2016-06-14,10282,40.716921,-74.015066,<= $20,Not Listed,Wealthy Urbanites (Renters),14.3576691374,10.4069689794,-1686625.57647,288.0,1.60943791243
13674866,2016-04-08,81601,39.601304,-107.304388,<= $1000,medical,"Homeowners, Families",11.9525600888,10.7598265632,-108123.499905,3039.0,6.21460809842
9221093,2016-07-18,46368,41.59082,-87.180707,<= $20,business,"White, Middle income Single Family",11.124346972,11.3002270372,13037.9891404,20432.0,2.30258509299
3418440,2016-07-20,37922,35.860496,-84.100535,<= $1000,Not Listed,"Suburban, White, Wealthy",14.2985871129,12.4784517861,-1358437.04987,360.0,4.8283137373
2993383,2015-04-30,85020,33.567351,-112.053591,<= $100,Not Listed,"Families, Low Density",13.0813351116,11.928581659,-328364.521222,1327.0,4.1743872699
6556196,2015-05-04,93308,35.621087,-118.789677,<= $100,retired,"Families, Low Density",11.6112402174,11.1746582879,-39030.5236106,5277.0,4.09434456222
11598150,2016-08-17,11213,40.671078,-73.936336,<= $20,Not Listed,Wealthy Urbanites (Renters),11.5228559936,11.345942385,-16376.6070815,7566.0,2.30258509299
8576441,2015-09-18,15301,40.153494,-80.253464,<= $100,business,"Families, Low Density",12.3503374781,11.3525066089,-145859.306185,2492.0,3.04452243772
4342882,2015-12-15,19087,40.061872,-75.402461,<= $100,Not Listed,"Homeowners, Families",15.6019986579,13.5983489759,-5163655.08245,92.0,3.91202300543
6585837,2016-06-29,77664,30.601435,-94.413805,<= $100,Not Listed,"White, Middle income Single Family",8.92558733903,7.52610450791,-5666.13809136,9960.0,4.49980967033
12638141,2016-04-28,97301,44.94878,-123.003655,<= $20,legal,"Young Kids, Multi-racial, Low Density",11.5338157359,11.3410863114,-17899.5386577,7331.0,2.30258509299
5613542,2016-06-20,48236,42.425373,-82.893194,<= $100,business,"Suburban, White, Wealthy",14.7090483948,11.8834816702,-2298905.99237,217.0,3.21887582487
5081158,2016-04-28,33155,25.736887,-80.310768,<= $5000,Not Listed,"Hispanic, non citizens, low income",12.9002767673,11.9473901725,-246009.372683,1672.0,7.90100705199
12386280,2015-11-22,02135,42.349688,-71.153964,<= $100,Not Listed,Wealthy Urbanites (Renters),14.566002635,12.7181298069,-1784297.90126,266.0,3.55534806149
9800517,2015-06-30,23219,37.539769,-77.435528,<= $100,business,"Low Income, African American",14.0879066427,10.6640821377,-1270316.04028,383.0,3.91202300543
12218622,2016-08-28,95966,39.47536,-121.41411,<= $100,Not Listed,"White, Middle income Single Family",11.3282812128,11.0336046193,-21219.621601,6876.0,3.91202300543
3209532,2016-03-06,48858,43.616033,-84.795459,<= $20,Not Listed,"Families, Low Density",12.9612975093,12.1260682865,-240995.535499,1705.0,2.30258509299
15045623,2015-08-30,11223,40.597139,-73.973428,<= $20,retired,Wealthy Urbanites (Renters),12.1871955898,11.3633268842,-110154.644944,3007.0,1.60943791243
9113123,2015-08-17,15767,40.962153,-78.968171,<= $100,retired,"White, Middle income Single Family",10.8692539279,10.2202479716,-25082.5266772,6448.0,3.55534806149
9227621,2016-09-30,02139,42.362986,-71.103353,<= $100,Not Listed,Wealthy Urbanites (Renters),13.886294225,13.3428834867,-449986.502379,1008.0,3.25809653802
4889710,2015-07-31,17011,40.23483,-76.928846,<= $20,Not Listed,"White, Middle income Single Family",13.4013396642,11.7793390893,-530360.515957,884.0,2.7080502011
9481387,2016-08-26,02210,42.347472,-71.039271,<= $20,Not Listed,Wealthy Urbanites (Renters),13.740272871,10.6422608843,-885655.678536,561.0,2.94443897917
4130279,2016-01-20,07960,40.784201,-74.500025,<= $1000,Not Listed,"Homeowners, Families",14.3635949716,12.7587830068,-1382344.57365,353.0,5.52146091786
7281342,2016-06-07,02571,41.761187,-70.695991,<= $20,Not Listed,"White, Middle income Single Family",9.63259704272,9.75232948499,1940.2359077,15692.0,1.09861228867
8866249,2015-11-24,95945,39.196387,-120.972289,<= $100,Not Listed,"White, Middle income Single Family",11.9293700771,11.2246106789,-76703.4385097,3711.0,3.21887582487
7614738,2015-11-23,85268,33.606089,-111.743277,<= $100,retired,"Suburban, White, Wealthy",12.3549106667,11.5208107863,-131305.350762,2686.0,3.91202300543
5504734,2016-09-06,50023,41.730271,-93.634978,<= $5000,Not Listed,"Families, Low Density",12.1782439957,11.4891033164,-96865.0640974,3240.0,7.2442275156
11759195,2015-10-31,33905,26.667872,-81.760927,<= $100,creative,"Young Kids, Multi-racial, Low Density",11.0180224017,11.3958861521,27992.0221692,22119.0,4.60517018599
7935982,2015-08-11,49008,42.263841,-85.617047,<= $20,retired,"Families, Low Density",12.8778557303,12.7605632317,-43334.2316001,5015.0,2.30258509299
6326997,2016-09-02,08889,40.609021,-74.754216,<= $20,Not Listed,"Homeowners, Families",11.9481305887,10.9015189151,-100269.28438,3169.0,2.83321334406
8620968,2016-01-26,94704,37.866536,-122.257996,<= $20,Not Listed,"Families, Low Density",12.6842521361,11.8155750789,-187282.984519,2056.0,2.30258509299
1256744,2015-11-02,22152,38.774493,-77.232029,<= $100,retired,"Homeowners, Families",12.4376525109,12.2156917969,-50184.8871806,4696.0,4.60517018599
11492787,2016-07-01,44089,41.392084,-82.377455,<= $100,Not Listed,"White, Middle income Single Family",12.7997309276,11.3046665676,-280920.321437,1497.0,4.60517018599
13137240,2016-02-29,20166,38.986273,-77.455778,<= $1000,creative,"Homeowners, Families",11.9263190594,11.3616344607,-65234.2484307,4081.0,5.07517381523
11571482,2016-05-03,97527,42.37114,-123.413622,<= $100,retired,"White, Middle income Single Family",11.6181679737,11.3172812837,-28867.5225896,6061.0,4.60517018599
8198093,2016-07-29,43054,40.083073,-82.798908,<= $20,Not Listed,"Suburban, White, Wealthy",15.9664506792,12.5366232129,-8314586.16781,58.0,2.7080502011
1811100,2015-05-11,90277,33.830006,-118.387124,<= $100,retired,"Homeowners, Families",13.0596706185,13.308547213,132705.848193,23917.0,4.60517018599
8203185,2015-08-28,43065,40.17754,-83.094187,<= $20,business,"Suburban, White, Wealthy",14.198552809,13.1722184695,-941180.615064,521.0,2.7080502011
11742970,2015-12-23,49111,42.022699,-86.291132,<= $100,Not Listed,"White, Middle income Single Family",9.13367528704,8.30220055326,-5229.26311085,10153.0,4.60517018599
10066305,2015-11-21,01770,42.231947,-71.372963,<= $100,Not Listed,"Homeowners, Families",12.0817218392,11.4424503369,-83418.9081338,3524.0,3.21887582487
14185552,2015-06-24,55057,44.470457,-93.176125,<= $20,Not Listed,"Families, Low Density",12.9899878879,11.8328123798,-300308.795963,1423.0,2.30258509299
8184061,2015-06-15,40204,38.239913,-85.721591,<= $100,Not Listed,"Families, Low Density",13.2015256977,11.5253207765,-439942.75482,1027.0,3.68887945411
547237,2015-08-26,40059,38.358108,-85.593622,<= $1000,Not Listed,"Suburban, White, Wealthy",14.4305772711,12.8529388144,-1467870.55123,330.0,5.54126354516
8682754,2015-09-21,80012,39.699735,-104.837643,<= $100,Not Listed,"Families, Low Density",12.1212334531,11.0735529873,-119287.930485,2863.0,3.21887582487
2748642,2016-08-21,60611,41.8957,-87.613775,<= $1000,retired,Wealthy Urbanites (Renters),16.9772299125,13.9473370542,-22470246.6501,12.0,5.23644196283
12591266,2016-04-23,46544,41.615082,-86.14782,<= $100,Not Listed,"White, Middle income Single Family",10.7000934415,11.3156482257,37736.2998606,22664.0,4.12713438505
16177563,2015-12-31,32776,28.820155,-81.508894,<= $1000,Not Listed,"White, Middle income Single Family",11.2170768032,10.5364147134,-36727.706015,5439.0,4.74493212836
6719218,2016-07-14,24219,36.849443,-82.758491,<= $20,retired,"White, Middle income Single Family",10.1881400404,9.80775270841,-8411.90134854,9124.0,1.60943791243
6794703,2016-09-23,10562,41.19448,-73.825254,<= $1000,retired,Wealthy Urbanites (Renters),12.441808579,12.4335392825,-2084.88907825,11544.0,6.21460809842
16646320,2016-04-27,45309,39.842723,-84.414704,<= $20,Not Listed,"White, Middle income Single Family",10.9339280611,9.51328655251,-42507.5840055,5051.0,2.99573227355
7170947,2015-06-08,34228,27.402247,-82.638767,<= $5000,business,"Homeowners, Families",14.1876201722,11.2972807374,-1370189.83917,358.0,7.82404601086
7545003,2016-04-28,45840,41.025371,-83.651983,<= $100,Not Listed,"Families, Low Density",13.8804196354,11.6992856566,-946576.383869,517.0,3.58351893846
4575273,2016-05-06,22042,38.865024,-77.197125,<= $100,Not Listed,"Homeowners, Families",15.7270667377,13.0868879913,-6281032.75501,77.0,3.21887582487
1713048,2015-10-07,20006,38.898609,-77.041461,<= $100,legal,"Families, Low Density",15.1581541879,11.3138925782,-3747200.70585,135.0,4.60517018599
15023963,2016-04-27,80229,39.855318,-104.957119,<= $100,finance,"Young Kids, Multi-racial, Low Density",10.488353289,10.6121520365,4730.5328746,17827.0,4.60517018599
13978262,2016-06-16,94565,38.014576,-121.906255,<= $1000,Not Listed,"Homeowners, Families",10.9151975492,11.4491786778,38818.2544527,22708.0,5.29831736655
8759791,2015-06-30,14534,43.05689,-77.521042,<= $5000,Not Listed,"Suburban, White, Wealthy",14.0168419442,13.7163495369,-317433.123859,1363.0,7.13009851013
13908254,2015-12-27,68847,40.76003,-99.017084,<= $100,Not Listed,"Families, Low Density",10.9365652686,10.9262440259,-577.009065003,12536.0,3.91202300543
14601424,2016-09-27,58237,48.414207,-97.402876,<= $20,Not Listed,"White, Middle income Single Family",11.9810085011,9.43336386326,-147194.50066,2469.0,1.60943791243
4787685,2015-05-12,63017,38.651309,-90.531216,<= $100,Not Listed,"Suburban, White, Wealthy",13.6210322059,13.6494817977,23757.8732739,21802.0,4.60517018599
16882595,2016-04-20,19023,39.91714,-75.267387,<= $20,Not Listed,"Low Income, African American",9.17699039229,10.4209725846,23884.0543809,21822.0,2.30258509299
58074,2015-11-05,90293,33.947305,-118.439841,<= $100,Not Listed,"Homeowners, Families",12.1580529345,12.6363741719,116921.223417,23842.0,4.60517018599
5663909,2016-04-09,97530,42.152148,-123.057499,<= $20,Not Listed,"White, Middle income Single Family",11.8892775381,10.2189607694,-118277.842116,2881.0,2.7080502011
