,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logDollars
10361141,2015-05-01,44321,41.088647,-81.652446,<= $20,Not Listed,"Suburban, White, Wealthy",1.60943791243
9541263,2016-05-10,54868,45.525662,-91.707548,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
395749,2015-12-31,55125,44.918031,-92.938277,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
9435968,2016-02-17,29681,34.767679,-82.225003,<= $1000,legal,"Suburban, White, Wealthy",5.52146091786
14314525,2016-05-18,34219,27.576471,-82.299218,<= $20,professor,"White, Middle income Single Family",1.60943791243
13622891,2015-09-04,75082,32.991557,-96.663063,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
12744383,2016-07-31,41018,39.014901,-84.602186,<= $100,Not Listed,"White, Middle income Single Family",3.66356164613
4943404,2016-06-07,74105,36.097442,-95.961087,<= $100,Not Listed,"Families, Low Density",3.13549421593
5488815,2015-12-15,10036,40.75926,-73.98986,<= $100,Not Listed,Wealthy Urbanites (Renters),4.60517018599
3124981,2015-06-03,02138,42.379637,-71.135152,<= $100,retired,Wealthy Urbanites (Renters),3.68887945411
16193988,2015-12-27,43231,40.079362,-82.935126,<= $100,Not Listed,Low Income African American,4.60517018599
3230568,2016-05-26,59803,46.796608,-113.950416,<= $20,Not Listed,"Families, Low Density",1.60943791243
15633039,2015-11-08,30542,34.178052,-83.909174,<= $20,Not Listed,"Suburban, White, Wealthy",2.99573227355
7180567,2016-03-12,53704,43.136269,-89.347319,<= $20,Not Listed,"Families, Low Density",1.38629436112
10109481,2015-11-30,14072,43.017901,-78.962657,<= $20,Not Listed,"Suburban, White, Wealthy",2.99573227355
2782874,2015-10-20,94301,37.444123,-122.149911,<= $20,Not Listed,"Homeowners, Families",2.99573227355
15291192,2015-04-22,42256,37.000821,-86.937511,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
2557827,2016-04-30,02446,42.343503,-71.122248,<= $20,Not Listed,Wealthy Urbanites (Renters),1.94591014906
1298836,2016-09-03,20817,38.997272,-77.151816,<= $100,retired,"Homeowners, Families",3.21887582487
734274,2016-04-25,22302,38.827888,-77.083132,<= $5000,homemaker,Wealthy Urbanites (Renters),7.90100705199
1529726,2015-07-31,20008,38.936238,-77.059981,<= $100,Not Listed,Wealthy Urbanites (Renters),3.63758615973
12326564,2015-03-31,31647,31.208842,-83.427337,<= $100,Not Listed,"White, Middle income Single Family",3.63758615973
13331751,2016-04-25,48114,42.571753,-83.749573,<= $20,Not Listed,"Suburban, White, Wealthy",2.8903717579
3578610,2015-03-24,22406,38.399767,-77.54731,> $5000,Not Listed,"Suburban, White, Wealthy",8.59415423255
15926014,2016-05-28,01331,42.562408,-72.19108,<= $100,retired,"White, Middle income Single Family",3.63758615973
8209203,2015-11-05,43056,40.008493,-82.340989,<= $20,retired,"White, Middle income Single Family",2.30258509299
13488445,2016-06-04,27312,35.756405,-79.209789,<= $100,Not Listed,"Suburban, White, Wealthy",3.295836866
14311150,2016-09-18,95776,38.698614,-121.699262,<= $20,Not Listed,"Homeowners, Families",1.60943791243
11873361,2016-02-08,94086,37.371647,-122.023134,<= $100,engineer,"Homeowners, Families",3.295836866
13422593,2016-03-31,49047,41.999691,-86.11868,<= $1000,Not Listed,"White, Middle income Single Family",5.52146091786
15686775,2015-11-05,05461,44.332701,-73.087409,<= $100,Not Listed,"White, Middle income Single Family",3.55534806149
10513069,2016-09-30,30075,34.055084,-84.390492,<= $1000,Not Listed,"Suburban, White, Wealthy",5.16478597392
16039639,2016-09-14,11222,40.72779,-73.947605,<= $20,Not Listed,Wealthy Urbanites (Renters),2.7080502011
13282156,2016-06-29,58601,46.916872,-102.834258,<= $100,Not Listed,"White, Middle income Single Family",3.91202300543
16634120,2016-05-03,50461,43.306168,-92.818741,<= $100,retired,"White, Middle income Single Family",3.21887582487
7645271,2016-04-05,77494,29.740677,-95.829652,<= $100,Not Listed,"Suburban, White, Wealthy",3.55534806149
8380335,2015-09-30,94305,37.418256,-122.170871,<= $100,retired,"Families, Low Density",3.91202300543
1499478,2015-09-27,22205,38.883501,-77.139537,<= $20,retired,"Suburban, White, Wealthy",2.30258509299
1473144,2016-08-09,55902,43.971218,-92.507094,<= $5000,Not Listed,"Suburban, White, Wealthy",7.31322038709
14971378,2015-06-13,84335,41.836112,-111.874843,<= $20,Not Listed,"White, Middle income Single Family",2.7080502011
15213302,2016-06-08,60632,41.810166,-87.713252,<= $100,Not Listed,"Hispanic, non citizens, low income",3.21887582487
3924627,2016-08-03,92117,32.824572,-117.199518,<= $1000,Not Listed,"Homeowners, Families",6.21460809842
1899352,2015-11-29,90046,34.10781,-118.362247,<= $100,Not Listed,Wealthy Urbanites (Renters),4.60517018599
6688671,2015-07-31,34747,28.311495,-81.595565,<= $1000,Not Listed,"Homeowners, Families",5.0106352941
11111841,2015-07-20,77018,29.826448,-95.426267,<= $100,Not Listed,"Families, Low Density",3.40119738166
6047931,2015-09-30,22180,38.895439,-77.256133,<= $20,Not Listed,"Homeowners, Families",2.99573227355
15039404,2015-12-28,45150,39.166379,-84.230308,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
4559938,2016-07-15,22042,38.865024,-77.197125,<= $100,Not Listed,"Homeowners, Families",3.68887945411
13974026,2016-03-25,13078,42.958399,-76.061101,<= $5000,Not Listed,"Suburban, White, Wealthy",7.90100705199
136019,2015-11-13,22101,38.940203,-77.164882,<= $20,Not Listed,"Homeowners, Families",2.99573227355
10371054,2015-11-26,80231,39.67142,-104.887802,<= $100,Not Listed,"Families, Low Density",3.61091791264
2567096,2016-08-29,06105,41.774705,-72.705037,<= $100,professor,Wealthy Urbanites (Renters),3.63758615973
11451591,2015-09-24,95219,38.051726,-121.483036,<= $100,retired,"Homeowners, Families",3.91202300543
13178834,2016-09-13,60420,41.088287,-88.41697,<= $100,Not Listed,"White, Middle income Single Family",3.63758615973
720937,2015-08-28,34997,27.055637,-80.270195,<= $1000,Not Listed,"White, Middle income Single Family",5.52146091786
1617977,2015-11-29,94306,37.415727,-122.130762,<= $100,retired,"Homeowners, Families",3.21887582487
1661759,2016-01-13,55419,44.905799,-93.287653,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
8469839,2015-04-24,91316,34.160236,-118.515472,<= $20,Not Listed,"Homeowners, Families",1.60943791243
1515532,2016-05-11,53703,43.079575,-89.378389,<= $20,Not Listed,Wealthy Urbanites (Renters),1.60943791243
14628191,2016-07-29,37228,36.196931,-86.803372,<= $100,Not Listed,Low Income African American,4.31748811354
70392,2016-09-08,90049,34.09254,-118.491064,<= $100,retired,"Homeowners, Families",4.31748811354
16360443,2015-12-31,40342,37.995815,-84.979522,<= $20,Not Listed,"White, Middle income Single Family",2.99573227355
9845133,2016-05-03,77450,29.745247,-95.741783,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
7669596,2016-06-10,43082,40.149186,-82.884872,<= $20,Not Listed,"Suburban, White, Wealthy",2.99573227355
15651315,2016-02-02,27560,35.857892,-78.827698,<= $20,Not Listed,"Families, Low Density",2.7080502011
5420056,2016-08-24,07701,40.361667,-74.078076,<= $1000,Not Listed,"Homeowners, Families",6.21460809842
3389722,2016-09-19,02459,42.314779,-71.192017,<= $100,Not Listed,"Homeowners, Families",3.21887582487
4360049,2015-04-24,19342,39.904122,-75.499422,<= $100,Not Listed,"Homeowners, Families",3.91202300543
14574594,2015-04-27,80211,39.767444,-105.019736,<= $20,Not Listed,"Families, Low Density",1.60943791243
10935188,2016-06-18,95112,37.344482,-121.883535,<= $100,Not Listed,Wealthy Urbanites (Renters),4.11087386417
3925783,2015-08-24,86351,34.778447,-111.785069,<= $100,retired,"Homeowners, Families",3.21887582487
5119749,2016-07-16,90028,34.099912,-118.326912,<= $20,Not Listed,Wealthy Urbanites (Renters),1.60943791243
1408348,2016-09-30,22031,38.858916,-77.260258,<= $100,Not Listed,"Homeowners, Families",3.68887945411
8125214,2016-05-31,40515,37.917671,-84.391441,> $5000,medical,"Suburban, White, Wealthy",8.92265829952
16950110,2016-06-06,72959,35.79038,-94.071982,<= $20,retired,"White, Middle income Single Family",1.60943791243
3786737,2015-02-23,94129,37.797336,-122.464462,<= $5000,finance,Wealthy Urbanites (Renters),7.90100705199
633906,2016-09-07,52241,41.699578,-91.595951,<= $20,legal,"Families, Low Density",2.07944154168
11523901,2015-11-02,20759,39.153977,-76.931172,<= $1000,legal,"Homeowners, Families",6.90775527898
14602617,2016-03-15,37086,36.022237,-86.559384,<= $100,Not Listed,Low Income African American,4.27666611902
14052508,2015-10-15,59457,47.139985,-109.310714,<= $100,Not Listed,"White, Middle income Single Family",3.91202300543
4460614,2015-05-22,22042,38.865024,-77.197125,<= $20,Not Listed,"Homeowners, Families",2.99573227355
13900092,2016-06-30,27012,36.002457,-80.379291,<= $1000,Not Listed,"White, Middle income Single Family",4.91265488574
14875736,2015-06-28,23231,37.442204,-77.314931,<= $100,Not Listed,Low Income African American,3.21887582487
10981812,2016-05-01,92503,33.882579,-117.442303,<= $100,Not Listed,"Hispanic, non citizens, low income",3.295836866
13706317,2016-08-10,10032,40.838815,-73.942836,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.52146091786
3522538,2015-12-19,44281,41.059816,-81.741072,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
1021474,2015-05-29,98119,47.638679,-122.370946,<= $100,Not Listed,"Families, Low Density",3.91202300543
16097933,2016-03-22,55106,44.963547,-93.049522,<= $100,Not Listed,"Families, Low Density",4.60517018599
3912092,2016-07-23,94941,37.897665,-122.563172,<= $100,Not Listed,"Homeowners, Families",3.21887582487
6837787,2016-07-21,30339,33.87632,-84.46209,<= $20,Not Listed,"Families, Low Density",1.60943791243
14673199,2015-01-29,00725,18.218819,-66.042375,<= $100,retired,"Hispanic, non citizens, low income",4.60517018599
823259,2015-10-20,15217,40.430821,-79.920089,<= $1000,legal,"White, Middle income Single Family",6.21460809842
6836702,2016-09-30,30339,33.87632,-84.46209,<= $100,Not Listed,"Families, Low Density",3.91202300543
4597733,2016-08-14,20904,39.066616,-76.980935,<= $20,Not Listed,Wealthy Urbanites (Renters),2.3978952728
13890404,2016-07-21,27516,35.906197,-79.154855,<= $100,Not Listed,"Families, Low Density",4.60517018599
15781082,2015-01-02,07205,40.695889,-74.2288,<= $100,Not Listed,Low Income African American,3.91202300543
8330885,2016-01-25,91320,34.175969,-118.945127,<= $1000,Not Listed,"Homeowners, Families",6.21460809842
3383722,2016-05-25,01810,42.648044,-71.161751,<= $1000,engineer,"Homeowners, Families",5.52146091786
11223646,2016-03-18,91307,34.200834,-118.6649,<= $100,Not Listed,"Suburban, White, Wealthy",3.295836866
7998386,2016-09-30,45504,39.946844,-83.867277,<= $20,Not Listed,"Families, Low Density",2.48490664979
7749418,2016-04-09,78232,29.588638,-98.474585,<= $20,Not Listed,"Families, Low Density",2.30258509299
6660315,2016-06-06,32792,28.610096,-81.298342,<= $20,Not Listed,"Families, Low Density",1.94591014906
13167023,2016-09-22,94087,37.351529,-122.036959,<= $100,retired,"Homeowners, Families",4.60517018599
6914963,2016-09-23,80111,39.613005,-104.877957,<= $1000,Not Listed,"Suburban, White, Wealthy",5.08140436498
12838740,2016-03-29,24060,37.255474,-80.422539,<= $100,retired,"Families, Low Density",4.60517018599
4321433,2015-03-30,19118,40.073872,-75.211217,<= $1000,Not Listed,"Families, Low Density",6.21460809842
13537026,2016-03-25,63123,38.547432,-90.328109,<= $100,Not Listed,"White, Middle income Single Family",3.295836866
1165445,2016-07-27,90275,33.753155,-118.367963,<= $100,retired,"Homeowners, Families",3.21887582487
5350116,2015-09-30,50266,41.570085,-93.798416,<= $20,Not Listed,"Families, Low Density",2.99573227355
4946607,2016-09-13,80401,39.718726,-105.236031,<= $20,retired,"Families, Low Density",2.07944154168
10707795,2016-05-31,48130,42.364141,-83.90936,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
1925563,2016-08-17,78746,30.296865,-97.809578,<= $5000,Not Listed,"Homeowners, Families",7.94520113241
15970358,2016-01-21,53575,42.933063,-89.390551,<= $100,Not Listed,"Families, Low Density",3.91202300543
6170374,2016-05-04,98243,48.608978,-123.003654,<= $1000,Not Listed,"White, Middle income Single Family",6.90775527898
16537855,2016-04-27,14468,43.293956,-77.802049,<= $20,Not Listed,"White, Middle income Single Family",2.30258509299
12247254,2016-02-29,78606,30.083786,-98.476159,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.56494935746
4059798,2016-08-09,33412,26.794532,-80.207075,<= $100,Not Listed,"White, Middle income Single Family",3.91202300543
4551710,2016-07-15,22042,38.865024,-77.197125,<= $100,Not Listed,"Homeowners, Families",3.68887945411
15118255,2015-10-19,80204,39.734837,-105.020395,<= $1000,retired,"Young Kids, Multi-racial, Low Density",5.70378247466
6932738,2016-07-15,75034,33.146638,-96.855822,<= $1000,Not Listed,"Suburban, White, Wealthy",5.52146091786
3324576,2015-06-15,28409,34.15512,-77.862161,<= $20,Not Listed,"Suburban, White, Wealthy",2.99573227355
415791,2016-08-30,80221,39.817067,-105.011035,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.7080502011
8746706,2016-07-21,90017,34.052913,-118.26434,<= $20,Not Listed,"Hispanic, non citizens, low income",0.0
9136983,2016-07-29,44133,41.313701,-81.74518,<= $20,Not Listed,"White, Middle income Single Family",2.56494935746
14323470,2016-05-31,32277,30.37745,-81.593947,<= $100,Not Listed,Low Income African American,3.295836866
8219809,2016-06-08,43085,40.100924,-83.013402,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
5233746,2015-11-11,46268,39.898613,-86.233341,<= $20,Not Listed,Low Income African American,2.99573227355
12415335,2015-12-25,33129,25.750167,-80.190028,<= $100,Not Listed,Wealthy Urbanites (Renters),3.21887582487
16917120,2015-12-20,86046,35.415916,-112.124547,<= $20,retired,"Young Kids, Multi-racial, Low Density",2.48490664979
362021,2016-06-10,20001,38.910353,-77.017739,<= $100,Not Listed,Wealthy Urbanites (Renters),3.52636052462
12439039,2016-05-18,53716,43.065163,-89.313783,<= $1000,medical,"Families, Low Density",5.29831736655
14740395,2016-05-31,19734,39.381644,-75.653322,<= $20,Not Listed,"White, Middle income Single Family",2.30258509299
12026607,2016-04-13,33966,26.591622,-81.830726,<= $100,Not Listed,"Homeowners, Families",3.21887582487
9003477,2016-08-31,85756,32.079259,-110.898921,<= $100,Not Listed,"Hispanic, non citizens, low income",4.31748811354
2434198,2016-04-27,77056,29.748202,-95.468948,<= $1000,retired,"Families, Low Density",6.21460809842
1716054,2016-08-18,20006,38.898609,-77.041461,<= $1000,Not Listed,"Families, Low Density",5.25749537203
10360183,2015-07-02,60463,41.662446,-87.789969,<= $1000,retired,"Homeowners, Families",5.70378247466
11639931,2016-04-29,27403,36.065973,-79.824383,<= $20,Not Listed,"Families, Low Density",2.30258509299
2864779,2016-03-11,07078,40.742346,-74.334237,<= $1000,retired,"Homeowners, Families",5.52146091786
14482054,2015-03-13,94043,37.414028,-122.070679,<= $1000,Not Listed,"Homeowners, Families",5.3375380797
712936,2015-06-27,19096,39.997882,-75.274178,<= $5000,Not Listed,"White, Middle income Single Family",7.4265490724
821728,2015-04-30,15217,40.430821,-79.920089,<= $100,Not Listed,"White, Middle income Single Family",3.73766961828
2931017,2016-08-16,02116,42.350579,-71.076397,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
12571695,2015-12-02,33305,26.153361,-80.11944,<= $1000,Not Listed,"Families, Low Density",6.21460809842
13806374,2016-02-17,88005,32.258348,-106.823126,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",0.69314718056
5954677,2016-03-26,98335,47.296947,-122.623661,<= $1000,Not Listed,"Suburban, White, Wealthy",5.85793315448
11337907,2016-09-01,48176,42.136836,-83.82925,<= $100,retired,"Suburban, White, Wealthy",3.21887582487
11810043,2015-10-24,03885,43.014997,-70.902586,<= $1000,Not Listed,"Suburban, White, Wealthy",5.29831736655
11586429,2016-08-09,59101,45.613054,-108.390305,<= $20,Not Listed,"Families, Low Density",2.30258509299
12008639,2016-04-08,80021,39.890663,-105.113724,<= $20,Not Listed,"Families, Low Density",1.60943791243
16700802,2016-08-05,47804,39.497812,-87.389953,<= $20,Not Listed,"Families, Low Density",2.7080502011
15105911,2016-07-07,74127,36.173132,-96.046419,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.3978952728
2489021,2016-06-24,76034,32.891787,-97.149641,<= $100,Not Listed,"Suburban, White, Wealthy",3.63758615973
5857825,2016-08-09,98020,47.802344,-122.374193,<= $100,retired,"Suburban, White, Wealthy",4.60517018599
14770754,2015-11-05,90041,34.137412,-118.207607,<= $5000,Not Listed,"Homeowners, Families",7.43838353004
13109784,2015-10-23,45068,39.524739,-84.065635,<= $1000,Not Listed,"White, Middle income Single Family",5.52146091786
15218717,2016-04-17,59828,46.329795,-113.976229,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
3895603,2016-03-17,95819,38.569828,-121.440067,<= $100,medical,"Families, Low Density",4.5538768916
2096163,2016-06-29,22201,38.886565,-77.095231,<= $100,Not Listed,Wealthy Urbanites (Renters),3.91202300543
9686403,2015-12-03,78233,29.555818,-98.361905,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.48490664979
2495010,2016-04-25,34134,26.353032,-81.82405,<= $100,retired,"White, Middle income Single Family",4.60517018599
9554793,2016-02-06,54017,45.120051,-92.519801,<= $20,retired,"White, Middle income Single Family",2.7080502011
6687735,2016-07-29,30004,34.145614,-84.291894,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
353396,2016-07-22,20001,38.910353,-77.017739,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.25749537203
16017360,2015-08-20,78597,26.235,-97.271778,<= $5000,Not Listed,"Homeowners, Families",7.82404601086
11555531,2016-04-15,77040,29.874575,-95.527099,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",3.36729582999
13841171,2016-05-21,94930,37.943963,-122.616418,<= $20,Not Listed,"Homeowners, Families",2.7080502011
14802807,2015-03-15,49012,42.36817,-85.34422,<= $100,medical,"Suburban, White, Wealthy",3.91202300543
5820164,2016-06-05,01730,42.499295,-71.281889,<= $100,Not Listed,"Homeowners, Families",4.60517018599
3711256,2016-08-10,19971,38.686005,-75.086681,<= $100,retired,"Homeowners, Families",3.91202300543
6148021,2015-05-29,98087,47.860085,-122.267238,<= $100,Not Listed,"Families, Low Density",3.63758615973
8541097,2016-02-20,21208,39.381174,-76.721002,<= $20,Not Listed,Low Income African American,1.60943791243
2022422,2015-12-22,78705,30.294333,-97.738517,<= $5000,legal,"Families, Low Density",7.90100705199
12578337,2015-11-24,39272,32.19061,-90.258327,<= $20,retired,Low Income African American,1.60943791243
15077406,2016-04-16,30307,33.771079,-84.3336,<= $100,Not Listed,"Families, Low Density",3.295836866
1693139,2015-09-30,85719,32.246719,-110.948657,<= $100,Not Listed,"Families, Low Density",3.68887945411
390912,2015-09-30,78132,29.758817,-98.191068,<= $100,Not Listed,"White, Middle income Single Family",4.47733681448
5400666,2016-07-29,97212,45.544236,-122.643468,<= $20,Not Listed,"Suburban, White, Wealthy",1.60943791243
5269480,2016-06-29,97205,45.520562,-122.710231,<= $1000,Not Listed,Wealthy Urbanites (Renters),6.21460809842
11404769,2016-06-21,34293,27.025247,-82.346959,<= $1000,Not Listed,"White, Middle income Single Family",6.21460809842
2537531,2016-03-29,10024,40.798452,-73.974428,<= $20,Not Listed,Wealthy Urbanites (Renters),2.7080502011
578747,2016-06-15,40245,38.267088,-85.446242,<= $100,Not Listed,"Suburban, White, Wealthy",4.09434456222
5678906,2015-11-10,98382,48.023189,-123.106245,<= $20,retired,"White, Middle income Single Family",2.99573227355
10367285,2015-12-01,32225,30.357756,-81.505829,<= $1000,Not Listed,"Families, Low Density",4.63472898823
11417972,2015-09-04,30512,34.85953,-83.960571,<= $20,retired,"White, Middle income Single Family",2.30258509299
10245833,2015-11-20,76248,32.924005,-97.225146,<= $100,Not Listed,"Suburban, White, Wealthy",3.295836866
933033,2015-12-22,19130,39.967935,-75.176073,<= $20,Not Listed,"Families, Low Density",0.0
9021440,2015-07-05,16001,40.910025,-79.945191,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
11263861,2016-08-19,75032,32.857112,-96.43121,<= $100,Not Listed,"Suburban, White, Wealthy",3.82864139649
15459287,2015-11-21,18644,41.32793,-75.882372,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
9455213,2016-08-18,78130,29.693556,-98.07285,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.07944154168
3279661,2016-05-13,94610,37.811406,-122.242458,<= $100,Not Listed,"Families, Low Density",3.91202300543
12715345,2016-01-31,29928,32.163171,-80.755765,<= $20,Not Listed,"Homeowners, Families",0.0
12792821,2015-09-16,92627,33.647763,-117.919761,<= $100,Not Listed,"Homeowners, Families",4.60517018599
952441,2016-04-25,19130,39.967935,-75.176073,<= $1000,engineer,"Families, Low Density",5.02388052085
5233333,2015-06-16,46268,39.898613,-86.233341,<= $20,Not Listed,Low Income African American,0.0
7250268,2016-05-06,95032,37.216953,-121.926555,<= $1000,Not Listed,"Homeowners, Families",5.07517381523
6011010,2015-09-23,98221,48.505025,-122.659285,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
8655217,2016-05-20,80027,39.950806,-105.159495,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
5905316,2016-01-26,94103,37.773134,-122.411167,<= $100,Not Listed,Wealthy Urbanites (Renters),3.91202300543
13530991,2016-04-30,33070,25.017205,-80.518498,<= $1000,Not Listed,"Homeowners, Families",5.99146454711
4560571,2016-07-01,22042,38.865024,-77.197125,<= $100,Not Listed,"Homeowners, Families",4.60517018599
9672414,2016-05-31,43140,39.88011,-83.428572,<= $100,retired,"White, Middle income Single Family",3.91202300543
11172592,2016-05-09,91406,34.195685,-118.490752,<= $100,medical,"Hispanic, non citizens, low income",3.91202300543
3086142,2016-01-31,95125,37.295056,-121.89144,<= $100,Not Listed,"Homeowners, Families",3.55534806149
1955132,2015-06-30,77024,29.772179,-95.514203,<= $1000,Not Listed,"Homeowners, Families",4.7184988713
1029214,2015-06-28,29576,33.56209,-79.061087,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
13678979,2015-12-20,76135,32.836325,-97.469908,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",3.09104245336
5344063,2016-05-06,07417,41.007529,-74.205652,<= $100,Not Listed,"Homeowners, Families",4.33073334029
5964046,2016-04-15,99202,47.657497,-117.37897,<= $20,Not Listed,"Families, Low Density",2.30258509299
16548737,2016-05-06,21758,39.353205,-77.656813,<= $100,Not Listed,"Homeowners, Families",4.00733318523
15369522,2016-06-22,80232,39.686866,-105.090234,<= $100,Not Listed,"Families, Low Density",3.09104245336
2527510,2015-09-27,10024,40.798452,-73.974428,<= $20,professor,Wealthy Urbanites (Renters),1.60943791243
11467274,2015-12-30,77008,29.798249,-95.416933,<= $20,Not Listed,"Homeowners, Families",1.60943791243
9371113,2016-09-24,17821,40.990142,-76.644205,<= $1000,Not Listed,"White, Middle income Single Family",5.52146091786
6240584,2015-07-24,92660,33.634626,-117.874882,<= $1000,finance,"Homeowners, Families",5.52146091786
3023200,2015-12-31,85045,33.298893,-112.105877,<= $100,Not Listed,"Suburban, White, Wealthy",3.40119738166
14808227,2015-11-18,45502,39.860825,-83.752812,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
13449781,2015-08-10,94530,37.921561,-122.298337,<= $20,Not Listed,"Homeowners, Families",2.30258509299
2371269,2015-12-17,22202,38.856868,-77.051492,<= $100,Not Listed,Wealthy Urbanites (Renters),3.21887582487
93220,2016-01-31,77389,30.123469,-95.517064,<= $1000,Not Listed,"White, Middle income Single Family",5.70378247466
8888500,2016-05-09,55108,44.982482,-93.17488,<= $20,Not Listed,"Families, Low Density",1.60943791243
13713989,2016-02-01,54401,44.963304,-89.704051,<= $100,retired,"Families, Low Density",3.21887582487
11560963,2016-04-07,32953,28.441679,-80.702628,<= $100,Not Listed,"White, Middle income Single Family",4.60517018599
12974457,2016-06-23,13760,42.133332,-76.084622,<= $20,Not Listed,"Families, Low Density",0.0
1420276,2016-05-31,48439,42.916399,-83.629374,<= $100,Not Listed,"White, Middle income Single Family",3.25809653802
5964226,2015-03-03,98155,47.754413,-122.300477,<= $1000,legal,"Suburban, White, Wealthy",4.8283137373
11333194,2015-05-29,32967,27.715491,-80.454288,<= $20,Not Listed,Low Income African American,2.30258509299
15583620,2016-09-07,14572,42.564925,-77.562598,<= $20,Not Listed,"White, Middle income Single Family",2.99573227355
4398133,2015-11-30,08033,39.892421,-75.036651,<= $20,Not Listed,"Suburban, White, Wealthy",2.56494935746
9287859,2015-09-23,75092,33.652101,-96.700254,<= $100,retired,"Families, Low Density",3.91202300543
12273971,2015-12-27,41001,38.917606,-84.40337,<= $1000,retired,"White, Middle income Single Family",6.21460809842
6171649,2015-11-22,91436,34.149588,-118.489708,<= $100,Not Listed,"Homeowners, Families",3.21887582487
16917443,2016-05-14,29821,33.643047,-82.107049,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
2363812,2015-10-22,22202,38.856868,-77.051492,<= $20,Not Listed,Wealthy Urbanites (Renters),2.30258509299
3432339,2016-09-30,39110,32.504199,-90.147242,<= $1000,Not Listed,"Suburban, White, Wealthy",5.94542060861
579323,2016-09-09,40245,38.267088,-85.446242,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
12195805,2016-03-12,23508,36.884888,-76.31027,<= $20,Not Listed,"Families, Low Density",0.0
4745069,2015-05-03,60626,42.010019,-87.667095,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.52146091786
6671087,2015-01-27,33704,27.796346,-82.628737,<= $1000,Not Listed,"Families, Low Density",6.21460809842
8960329,2016-04-09,05401,44.476621,-73.209998,<= $20,Not Listed,"Families, Low Density",2.7080502011
1929175,2015-09-08,10583,40.988682,-73.789204,<= $5000,Not Listed,"Homeowners, Families",7.90100705199
8765119,2016-08-23,14534,43.05689,-77.521042,<= $100,retired,"Suburban, White, Wealthy",3.21887582487
14444539,2016-01-22,47112,38.195517,-86.162499,<= $20,retired,"White, Middle income Single Family",2.56494935746
12455152,2016-04-08,14519,43.233972,-77.314631,<= $100,Not Listed,"White, Middle income Single Family",3.295836866
1074351,2016-05-13,80439,39.634422,-105.440245,<= $20,Not Listed,"Suburban, White, Wealthy",2.30258509299
13639724,2015-10-01,10473,40.81869,-73.858474,<= $100,Not Listed,Wealthy Urbanites (Renters),3.78418963392
14362779,2016-07-28,92036,33.022474,-116.493688,<= $1000,Not Listed,"White, Middle income Single Family",6.21460809842
9788962,2016-02-18,94605,37.761408,-122.150198,<= $100,engineer,Low Income African American,4.60517018599
3396450,2016-09-13,01945,42.501835,-70.859126,<= $100,homemaker,"Homeowners, Families",3.21887582487
8194076,2015-12-28,43054,40.083073,-82.798908,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
9573267,2016-06-15,43235,40.118363,-83.027626,<= $100,Not Listed,"Families, Low Density",3.91202300543
15249992,2016-02-01,21655,38.744968,-75.912768,<= $20,Not Listed,"White, Middle income Single Family",2.99573227355
7122790,2016-02-03,48453,43.348144,-83.032572,<= $100,legal,"White, Middle income Single Family",3.91202300543
15592032,2016-07-26,62249,38.755322,-89.667366,<= $100,Not Listed,"White, Middle income Single Family",3.91202300543
3205125,2016-09-08,92103,32.747415,-117.166883,<= $100,legal,"Families, Low Density",3.21887582487
11917497,2015-10-29,75087,32.943901,-96.452875,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
